"","x"
"1",-0.150274329564675
"2",0.0648936084799904
"3",0.0916559830830182
"4",0.076946524960473
"5",0.462121674680492
"6",0.744549929952188
"7",0.200465412809824
"8",0.206581518353427
"9",0.229026968382821
"10",0.138114101528059
"11",0.330312498653105
"12",0.0887588597283057
"13",0.166288035729999
"14",0.198219001015021
"15",0.0490943288772307
"16",0.267760002502659
"17",0.0654496889461877
"18",0.0749310457429326
"19",-0.274218082290253
"20",-0.00769562899240083
"21",-0.240663508813066
"22",0.192711195603562
"23",-0.0386014837731297
"24",-0.0682517918144533
"25",-0.0940305553048999
"26",-0.00293157132634418
"27",0.0690804145757879
"28",-0.0898648834091246
"29",0.0626025024498891
"30",-0.0448159980645493
